Election Name,county,precinct,office,district,Party Name,party,candidate,votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Election,ADAMS,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"19,623",0,0,"10,843",0,0,"8,780",0,0,0,0,0
2024 Presidential Election,ADAMS,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"40,021",0,0,"30,642",0,0,"9,379",0,0,0,0,0
2024 Presidential Election,ADAMS,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,339,0,0,238,0,0,101,0,0,0,0,0
2024 Presidential Election,ADAMS,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,215,0,0,140,0,0,75,0,0,0,0,0
2024 Presidential Election,ALLEGHENY,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"419,051",0,0,"257,005",0,0,"162,046",0,0,0,0,0
2024 Presidential Election,ALLEGHENY,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"279,292",0,0,"220,187",0,0,"59,105",0,0,0,0,0
2024 Presidential Election,ALLEGHENY,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"3,231",0,0,"2,393",0,0,838,0,0,0,0,0
2024 Presidential Election,ALLEGHENY,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"3,567",0,0,"2,488",0,0,"1,079",0,0,0,0,0
2024 Presidential Election,ARMSTRONG,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"8,480",0,0,"5,437",0,0,"3,043",0,0,0,0,0
2024 Presidential Election,ARMSTRONG,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"28,141",0,0,"24,026",0,0,"4,115",0,0,0,0,0
2024 Presidential Election,ARMSTRONG,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,181,0,0,156,0,0,25,0,0,0,0,0
2024 Presidential Election,ARMSTRONG,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,87,0,0,60,0,0,27,0,0,0,0,0
2024 Presidential Election,BEAVER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"36,795",0,0,"23,553",0,0,"13,242",0,0,0,0,0
2024 Presidential Election,BEAVER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"56,502",0,0,"46,766",0,0,"9,736",0,0,0,0,0
2024 Presidential Election,BEAVER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,499,0,0,388,0,0,111,0,0,0,0,0
2024 Presidential Election,BEAVER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,306,0,0,242,0,0,64,0,0,0,0,0
2024 Presidential Election,BEDFORD,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,316",0,0,"2,428",0,0,"1,888",0,0,0,0,0
2024 Presidential Election,BEDFORD,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"23,545",0,0,"19,600",0,0,"3,945",0,0,0,0,0
2024 Presidential Election,BEDFORD,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,99,0,0,72,0,0,27,0,0,0,0,0
2024 Presidential Election,BEDFORD,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,66,0,0,44,0,0,22,0,0,0,0,0
2024 Presidential Election,BERKS,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"89,764",0,0,"60,162",0,0,"29,602",0,0,0,0,0
2024 Presidential Election,BERKS,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"115,676",0,0,"97,251",0,0,"18,425",0,0,0,0,0
2024 Presidential Election,BERKS,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"1,083",0,0,871,0,0,212,0,0,0,0,0
2024 Presidential Election,BERKS,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,928,0,0,701,0,0,227,0,0,0,0,0
2024 Presidential Election,BLAIR,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"17,852",0,0,"10,888",0,0,"6,964",0,0,0,0,0
2024 Presidential Election,BLAIR,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"45,901",0,0,"36,580",0,0,"9,321",0,0,0,0,0
2024 Presidential Election,BLAIR,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,270,0,0,213,0,0,57,0,0,0,0,0
2024 Presidential Election,BLAIR,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,194,0,0,133,0,0,61,0,0,0,0,0
2024 Presidential Election,BRADFORD,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"7,816",0,0,"5,123",0,0,"2,693",0,0,0,0,0
2024 Presidential Election,BRADFORD,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"22,658",0,0,"19,484",0,0,"3,174",0,0,0,0,0
2024 Presidential Election,BRADFORD,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,176,0,0,148,0,0,28,0,0,0,0,0
2024 Presidential Election,BRADFORD,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,82,0,0,59,0,0,23,0,0,0,0,0
2024 Presidential Election,BUCKS,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"194,635",0,0,"107,884",0,0,"86,751",0,0,0,0,0
2024 Presidential Election,BUCKS,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"195,147",0,0,"148,916",0,0,"46,231",0,0,0,0,0
2024 Presidential Election,BUCKS,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"1,890",0,0,"1,329",0,0,561,0,0,0,0,0
2024 Presidential Election,BUCKS,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"1,917",0,0,"1,318",0,0,599,0,0,0,0,0
2024 Presidential Election,BUTLER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"40,046",0,0,"24,251",0,0,"15,795",0,0,0,0,0
2024 Presidential Election,BUTLER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"79,147",0,0,"64,294",0,0,"14,853",0,0,0,0,0
2024 Presidential Election,BUTLER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,659,0,0,512,0,0,147,0,0,0,0,0
2024 Presidential Election,BUTLER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,337,0,0,227,0,0,110,0,0,0,0,0
2024 Presidential Election,CAMBRIA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"12,852",0,0,"5,331",0,0,"7,521",0,0,0,0,0
2024 Presidential Election,CAMBRIA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"24,490",0,0,"17,151",0,0,"7,339",0,0,0,0,0
2024 Presidential Election,CAMBRIA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,191,0,0,129,0,0,62,0,0,0,0,0
2024 Presidential Election,CAMBRIA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,138,0,0,90,0,0,48,0,0,0,0,0
2024 Presidential Election,CAMERON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,745,0,0,530,0,0,215,0,0,0,0,0
2024 Presidential Election,CAMERON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"2,467",0,0,"2,129",0,0,338,0,0,0,0,0
2024 Presidential Election,CAMERON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,24,0,0,20,0,0,4,0,0,0,0,0
2024 Presidential Election,CAMERON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,16,0,0,13,0,0,3,0,0,0,0,0
2024 Presidential Election,CARBON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"11,244",0,0,"7,270",0,0,"3,974",0,0,0,0,0
2024 Presidential Election,CARBON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"23,505",0,0,"20,323",0,0,"3,182",0,0,0,0,0
2024 Presidential Election,CARBON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,170,0,0,136,0,0,34,0,0,0,0,0
2024 Presidential Election,CARBON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,121,0,0,95,0,0,26,0,0,0,0,0
2024 Presidential Election,CENTRE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"40,321",0,0,"25,153",0,0,"15,168",0,0,0,0,0
2024 Presidential Election,CENTRE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"38,545",0,0,"30,782",0,0,"7,763",0,0,0,0,0
2024 Presidential Election,CENTRE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,469,0,0,366,0,0,103,0,0,0,0,0
2024 Presidential Election,CENTRE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,363,0,0,251,0,0,112,0,0,0,0,0
2024 Presidential Election,CHESTER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"181,075",0,0,"106,691",0,0,"74,384",0,0,0,0,0
2024 Presidential Election,CHESTER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"136,088",0,0,"104,185",0,0,"31,903",0,0,0,0,0
2024 Presidential Election,CHESTER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"1,757",0,0,"1,261",0,0,496,0,0,0,0,0
2024 Presidential Election,CHESTER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"1,573",0,0,"1,083",0,0,490,0,0,0,0,0
2024 Presidential Election,CLARION,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,529",0,0,"2,942",0,0,"1,587",0,0,0,0,0
2024 Presidential Election,CLARION,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"14,972",0,0,"12,681",0,0,"2,291",0,0,0,0,0
2024 Presidential Election,CLARION,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,91,0,0,68,0,0,23,0,0,0,0,0
2024 Presidential Election,CLARION,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,44,0,0,35,0,0,9,0,0,0,0,0
2024 Presidential Election,CLEARFIELD,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"9,565",0,0,"6,207",0,0,"3,358",0,0,0,0,0
2024 Presidential Election,CLEARFIELD,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"30,363",0,0,"26,219",0,0,"4,144",0,0,0,0,0
2024 Presidential Election,CLEARFIELD,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,182,0,0,137,0,0,45,0,0,0,0,0
2024 Presidential Election,CLEARFIELD,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,119,0,0,84,0,0,35,0,0,0,0,0
2024 Presidential Election,CLINTON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"5,366",0,0,"3,464",0,0,"1,902",0,0,0,0,0
2024 Presidential Election,CLINTON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"12,908",0,0,"10,684",0,0,"2,224",0,0,0,0,0
2024 Presidential Election,CLINTON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,100,0,0,81,0,0,19,0,0,0,0,0
2024 Presidential Election,CLINTON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,62,0,0,44,0,0,18,0,0,0,0,0
2024 Presidential Election,COLUMBIA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"10,783",0,0,"7,292",0,0,"3,491",0,0,0,0,0
2024 Presidential Election,COLUMBIA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"20,800",0,0,"18,134",0,0,"2,666",0,0,0,0,0
2024 Presidential Election,COLUMBIA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,192,0,0,163,0,0,29,0,0,0,0,0
2024 Presidential Election,COLUMBIA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,110,0,0,80,0,0,30,0,0,0,0,0
2024 Presidential Election,CRAWFORD,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"12,645",0,0,"7,891",0,0,"4,754",0,0,0,0,0
2024 Presidential Election,CRAWFORD,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"29,462",0,0,"24,557",0,0,"4,905",0,0,0,0,0
2024 Presidential Election,CRAWFORD,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,212,0,0,175,0,0,37,0,0,0,0,0
2024 Presidential Election,CRAWFORD,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,114,0,0,88,0,0,26,0,0,0,0,0
2024 Presidential Election,CUMBERLAND,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"65,506",0,0,"40,735",0,0,"24,771",0,0,0,0,0
2024 Presidential Election,CUMBERLAND,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"79,784",0,0,"62,582",0,0,"17,202",0,0,0,0,0
2024 Presidential Election,CUMBERLAND,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,918,0,0,700,0,0,218,0,0,0,0,0
2024 Presidential Election,CUMBERLAND,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,934,0,0,696,0,0,238,0,0,0,0,0
2024 Presidential Election,DAUPHIN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"76,899",0,0,"50,411",0,0,"26,488",0,0,0,0,0
2024 Presidential Election,DAUPHIN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"68,706",0,0,"55,909",0,0,"12,797",0,0,0,0,0
2024 Presidential Election,DAUPHIN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,819,0,0,627,0,0,192,0,0,0,0,0
2024 Presidential Election,DAUPHIN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,874,0,0,623,0,0,251,0,0,0,0,0
2024 Presidential Election,DELAWARE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"197,404",0,0,"133,435",0,0,"63,969",0,0,0,0,0
2024 Presidential Election,DELAWARE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"122,026",0,0,"100,303",0,0,"21,723",0,0,0,0,0
2024 Presidential Election,DELAWARE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"1,278",0,0,986,0,0,292,0,0,0,0,0
2024 Presidential Election,DELAWARE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"2,071",0,0,"1,576",0,0,495,0,0,0,0,0
2024 Presidential Election,ELK,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,464",0,0,"2,887",0,0,"1,577",0,0,0,0,0
2024 Presidential Election,ELK,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"12,506",0,0,"10,724",0,0,"1,782",0,0,0,0,0
2024 Presidential Election,ELK,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,75,0,0,60,0,0,15,0,0,0,0,0
2024 Presidential Election,ELK,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,52,0,0,39,0,0,13,0,0,0,0,0
2024 Presidential Election,ERIE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"65,464",0,0,"41,594",0,0,"23,870",0,0,0,0,0
2024 Presidential Election,ERIE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"67,399",0,0,"56,476",0,0,"10,923",0,0,0,0,0
2024 Presidential Election,ERIE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,669,0,0,517,0,0,152,0,0,0,0,0
2024 Presidential Election,ERIE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,570,0,0,421,0,0,149,0,0,0,0,0
2024 Presidential Election,FAYETTE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"19,238",0,0,"11,500",0,0,"7,738",0,0,0,0,0
2024 Presidential Election,FAYETTE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"43,076",0,0,"37,020",0,0,"6,056",0,0,0,0,0
2024 Presidential Election,FAYETTE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,167,0,0,127,0,0,40,0,0,0,0,0
2024 Presidential Election,FAYETTE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,120,0,0,84,0,0,36,0,0,0,0,0
2024 Presidential Election,FOREST,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,719,0,0,437,0,0,282,0,0,0,0,0
2024 Presidential Election,FOREST,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"1,897",0,0,"1,583",0,0,314,0,0,0,0,0
2024 Presidential Election,FOREST,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,9,0,0,8,0,0,1,0,0,0,0,0
2024 Presidential Election,FOREST,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,15,0,0,11,0,0,4,0,0,0,0,0
2024 Presidential Election,FRANKLIN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"23,262",0,0,"14,298",0,0,"8,964",0,0,0,0,0
2024 Presidential Election,FRANKLIN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"59,339",0,0,"48,120",0,0,"11,219",0,0,0,0,0
2024 Presidential Election,FRANKLIN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,451,0,0,356,0,0,95,0,0,0,0,0
2024 Presidential Election,FRANKLIN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,274,0,0,190,0,0,84,0,0,0,0,0
2024 Presidential Election,FULTON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"1,082",0,0,715,0,0,367,0,0,0,0,0
2024 Presidential Election,FULTON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"6,984",0,0,"6,059",0,0,925,0,0,0,0,0
2024 Presidential Election,FULTON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,22,0,0,16,0,0,6,0,0,0,0,0
2024 Presidential Election,FULTON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,12,0,0,11,0,0,1,0,0,0,0,0
2024 Presidential Election,GREENE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,554",0,0,"2,802",0,0,"1,752",0,0,0,0,0
2024 Presidential Election,GREENE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"12,258",0,0,"10,649",0,0,"1,609",0,0,0,0,0
2024 Presidential Election,GREENE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,89,0,0,75,0,0,14,0,0,0,0,0
2024 Presidential Election,GREENE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,235,0,0,219,0,0,16,0,0,0,0,0
2024 Presidential Election,HUNTINGDON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"5,332",0,0,"3,592",0,0,"1,740",0,0,0,0,0
2024 Presidential Election,HUNTINGDON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"17,561",0,0,"15,373",0,0,"2,188",0,0,0,0,0
2024 Presidential Election,HUNTINGDON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,107,0,0,91,0,0,16,0,0,0,0,0
2024 Presidential Election,HUNTINGDON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,53,0,0,38,0,0,15,0,0,0,0,0
2024 Presidential Election,INDIANA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"12,610",0,0,"7,846",0,0,"4,764",0,0,0,0,0
2024 Presidential Election,INDIANA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"29,112",0,0,"24,660",0,0,"4,452",0,0,0,0,0
2024 Presidential Election,INDIANA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,192,0,0,147,0,0,45,0,0,0,0,0
2024 Presidential Election,INDIANA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,122,0,0,78,0,0,44,0,0,0,0,0
2024 Presidential Election,JEFFERSON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,696",0,0,"2,998",0,0,"1,698",0,0,0,0,0
2024 Presidential Election,JEFFERSON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"18,196",0,0,"15,386",0,0,"2,810",0,0,0,0,0
2024 Presidential Election,JEFFERSON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,130,0,0,107,0,0,23,0,0,0,0,0
2024 Presidential Election,JEFFERSON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,56,0,0,45,0,0,11,0,0,0,0,0
2024 Presidential Election,JUNIATA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"2,285",0,0,"1,489",0,0,796,0,0,0,0,0
