Election Name,county,precinct,office,district,Party Name,party,candidate,votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Election,JUNIATA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"9,688",0,0,"8,308",0,0,"1,380",0,0,0,0,0
2024 Presidential Election,JUNIATA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,64,0,0,52,0,0,12,0,0,0,0,0
2024 Presidential Election,JUNIATA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,29,0,0,23,0,0,6,0,0,0,0,0
2024 Presidential Election,LACKAWANNA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"58,956",0,0,"38,408",0,0,"20,548",0,0,0,0,0
2024 Presidential Election,LACKAWANNA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"55,744",0,0,"45,789",0,0,"9,955",0,0,0,0,0
2024 Presidential Election,LACKAWANNA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,420,0,0,316,0,0,104,0,0,0,0,0
2024 Presidential Election,LACKAWANNA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,388,0,0,260,0,0,128,0,0,0,0,0
2024 Presidential Election,LANCASTER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"117,526",0,0,"79,349",0,0,"38,177",0,0,0,0,0
2024 Presidential Election,LANCASTER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"164,386",0,0,"140,190",0,0,"24,196",0,0,0,0,0
2024 Presidential Election,LANCASTER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"1,705",0,0,"1,387",0,0,318,0,0,0,0,0
2024 Presidential Election,LANCASTER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"1,123",0,0,849,0,0,274,0,0,0,0,0
2024 Presidential Election,LAWRENCE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"15,281",0,0,"9,814",0,0,"5,467",0,0,0,0,0
2024 Presidential Election,LAWRENCE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"31,164",0,0,"25,669",0,0,"5,495",0,0,0,0,0
2024 Presidential Election,LAWRENCE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,179,0,0,144,0,0,35,0,0,0,0,0
2024 Presidential Election,LAWRENCE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,143,0,0,108,0,0,35,0,0,0,0,0
2024 Presidential Election,LEBANON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"24,265",0,0,"14,784",0,0,"9,481",0,0,0,0,0
2024 Presidential Election,LEBANON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"47,775",0,0,"39,124",0,0,"8,651",0,0,0,0,0
2024 Presidential Election,LEBANON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,382,0,0,316,0,0,66,0,0,0,0,0
2024 Presidential Election,LEBANON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,278,0,0,195,0,0,83,0,0,0,0,0
2024 Presidential Election,LEHIGH,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"94,235",0,0,"57,280",0,0,"36,955",0,0,0,0,0
2024 Presidential Election,LEHIGH,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"89,704",0,0,"70,856",0,0,"18,848",0,0,0,0,0
2024 Presidential Election,LEHIGH,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,837,0,0,619,0,0,218,0,0,0,0,0
2024 Presidential Election,LEHIGH,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"1,398",0,0,953,0,0,445,0,0,0,0,0
2024 Presidential Election,LUZERNE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"59,966",0,0,"36,004",0,0,"23,962",0,0,0,0,0
2024 Presidential Election,LUZERNE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"90,370",0,0,"75,152",0,0,"15,218",0,0,0,0,0
2024 Presidential Election,LUZERNE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,626,0,0,460,0,0,166,0,0,0,0,0
2024 Presidential Election,LUZERNE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,531,0,0,384,0,0,147,0,0,0,0,0
2024 Presidential Election,LYCOMING,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"17,012",0,0,"11,596",0,0,"5,416",0,0,0,0,0
2024 Presidential Election,LYCOMING,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"41,677",0,0,"34,885",0,0,"6,792",0,0,0,0,0
2024 Presidential Election,LYCOMING,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,290,0,0,246,0,0,44,0,0,0,0,0
2024 Presidential Election,LYCOMING,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,207,0,0,148,0,0,59,0,0,0,0,0
2024 Presidential Election,McKEAN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"5,066",0,0,"3,421",0,0,"1,645",0,0,0,0,0
2024 Presidential Election,McKEAN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"14,323",0,0,"12,317",0,0,"2,006",0,0,0,0,0
2024 Presidential Election,McKEAN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,108,0,0,94,0,0,14,0,0,0,0,0
2024 Presidential Election,McKEAN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,57,0,0,48,0,0,9,0,0,0,0,0
2024 Presidential Election,MERCER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"19,341",0,0,"13,215",0,0,"6,126",0,0,0,0,0
2024 Presidential Election,MERCER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"36,761",0,0,"30,716",0,0,"6,045",0,0,0,0,0
2024 Presidential Election,MERCER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,301,0,0,242,0,0,59,0,0,0,0,0
2024 Presidential Election,MERCER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,184,0,0,152,0,0,32,0,0,0,0,0
2024 Presidential Election,MIFFLIN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,675",0,0,"2,716",0,0,"1,959",0,0,0,0,0
2024 Presidential Election,MIFFLIN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"17,066",0,0,"14,255",0,0,"2,811",0,0,0,0,0
2024 Presidential Election,MIFFLIN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,95,0,0,66,0,0,29,0,0,0,0,0
2024 Presidential Election,MIFFLIN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,57,0,0,43,0,0,14,0,0,0,0,0
2024 Presidential Election,MONROE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"41,258",0,0,"23,335",0,0,"17,923",0,0,0,0,0
2024 Presidential Election,MONROE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"42,168",0,0,"31,751",0,0,"10,417",0,0,0,0,0
2024 Presidential Election,MONROE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,397,0,0,266,0,0,131,0,0,0,0,0
2024 Presidential Election,MONROE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,427,0,0,289,0,0,138,0,0,0,0,0
2024 Presidential Election,MONTGOMERY,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"309,521",0,0,"187,161",0,0,"122,360",0,0,0,0,0
2024 Presidential Election,MONTGOMERY,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"193,958",0,0,"152,291",0,0,"41,667",0,0,0,0,0
2024 Presidential Election,MONTGOMERY,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"2,467",0,0,"1,795",0,0,672,0,0,0,0,0
2024 Presidential Election,MONTGOMERY,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"2,919",0,0,"2,022",0,0,897,0,0,0,0,0
2024 Presidential Election,MONTOUR,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"3,816",0,0,"2,351",0,0,"1,465",0,0,0,0,0
2024 Presidential Election,MONTOUR,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"5,914",0,0,"4,790",0,0,"1,124",0,0,0,0,0
2024 Presidential Election,MONTOUR,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,58,0,0,45,0,0,13,0,0,0,0,0
2024 Presidential Election,MONTOUR,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,44,0,0,35,0,0,9,0,0,0,0,0
2024 Presidential Election,NORTHAMPTON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"84,291",0,0,"47,531",0,0,"36,760",0,0,0,0,0
2024 Presidential Election,NORTHAMPTON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"88,171",0,0,"66,942",0,0,"21,229",0,0,0,0,0
2024 Presidential Election,NORTHAMPTON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,800,0,0,562,0,0,238,0,0,0,0,0
2024 Presidential Election,NORTHAMPTON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,890,0,0,594,0,0,296,0,0,0,0,0
2024 Presidential Election,NORTHUMBERLAND,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"12,716",0,0,"8,680",0,0,"4,036",0,0,0,0,0
2024 Presidential Election,NORTHUMBERLAND,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"29,984",0,0,"25,474",0,0,"4,510",0,0,0,0,0
2024 Presidential Election,NORTHUMBERLAND,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,254,0,0,202,0,0,52,0,0,0,0,0
2024 Presidential Election,NORTHUMBERLAND,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,161,0,0,123,0,0,38,0,0,0,0,0
2024 Presidential Election,PERRY,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"6,324",0,0,"4,064",0,0,"2,260",0,0,0,0,0
2024 Presidential Election,PERRY,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"18,972",0,0,"16,146",0,0,"2,826",0,0,0,0,0
2024 Presidential Election,PERRY,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,164,0,0,144,0,0,20,0,0,0,0,0
2024 Presidential Election,PERRY,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,103,0,0,83,0,0,20,0,0,0,0,0
2024 Presidential Election,PHILADELPHIA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"552,542",0,0,"387,114",0,0,"165,428",0,0,0,0,0
2024 Presidential Election,PHILADELPHIA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"141,407",0,0,"118,159",0,0,"23,248",0,0,0,0,0
2024 Presidential Election,PHILADELPHIA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"2,279",0,0,"1,765",0,0,514,0,0,0,0,0
2024 Presidential Election,PHILADELPHIA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,"6,042",0,0,"4,470",0,0,"1,572",0,0,0,0,0
2024 Presidential Election,PIKE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"12,993",0,0,"5,881",0,0,"7,112",0,0,0,0,0
2024 Presidential Election,PIKE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"21,298",0,0,"13,594",0,0,"7,704",0,0,0,0,0
2024 Presidential Election,PIKE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,137,0,0,87,0,0,50,0,0,0,0,0
2024 Presidential Election,PIKE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,142,0,0,77,0,0,65,0,0,0,0,0
2024 Presidential Election,POTTER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"1,664",0,0,"1,054",0,0,610,0,0,0,0,0
2024 Presidential Election,POTTER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"7,303",0,0,"6,123",0,0,"1,180",0,0,0,0,0
2024 Presidential Election,POTTER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,56,0,0,52,0,0,4,0,0,0,0,0
2024 Presidential Election,POTTER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,19,0,0,15,0,0,4,0,0,0,0,0
2024 Presidential Election,SCHUYLKILL,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"20,729",0,0,"13,668",0,0,"7,061",0,0,0,0,0
2024 Presidential Election,SCHUYLKILL,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"51,416",0,0,"43,927",0,0,"7,489",0,0,0,0,0
2024 Presidential Election,SCHUYLKILL,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,369,0,0,296,0,0,73,0,0,0,0,0
2024 Presidential Election,SCHUYLKILL,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,268,0,0,200,0,0,68,0,0,0,0,0
2024 Presidential Election,SNYDER,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"5,184",0,0,"3,255",0,0,"1,929",0,0,0,0,0
2024 Presidential Election,SNYDER,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"14,592",0,0,"12,145",0,0,"2,447",0,0,0,0,0
2024 Presidential Election,SNYDER,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,90,0,0,69,0,0,21,0,0,0,0,0
2024 Presidential Election,SNYDER,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,45,0,0,32,0,0,13,0,0,0,0,0
2024 Presidential Election,SOMERSET,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"8,559",0,0,"5,543",0,0,"3,016",0,0,0,0,0
2024 Presidential Election,SOMERSET,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"31,884",0,0,"27,536",0,0,"4,348",0,0,0,0,0
2024 Presidential Election,SOMERSET,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,186,0,0,152,0,0,34,0,0,0,0,0
2024 Presidential Election,SOMERSET,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,103,0,0,89,0,0,14,0,0,0,0,0
2024 Presidential Election,SULLIVAN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,956,0,0,645,0,0,311,0,0,0,0,0
2024 Presidential Election,SULLIVAN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"2,697",0,0,"2,279",0,0,418,0,0,0,0,0
2024 Presidential Election,SULLIVAN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,12,0,0,9,0,0,3,0,0,0,0,0
2024 Presidential Election,SULLIVAN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,12,0,0,10,0,0,2,0,0,0,0,0
2024 Presidential Election,SUSQUEHANNA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"5,998",0,0,"3,711",0,0,"2,287",0,0,0,0,0
2024 Presidential Election,SUSQUEHANNA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"15,949",0,0,"13,067",0,0,"2,882",0,0,0,0,0
2024 Presidential Election,SUSQUEHANNA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,130,0,0,108,0,0,22,0,0,0,0,0
2024 Presidential Election,SUSQUEHANNA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,66,0,0,45,0,0,21,0,0,0,0,0
2024 Presidential Election,TIOGA,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"5,080",0,0,"3,323",0,0,"1,757",0,0,0,0,0
2024 Presidential Election,TIOGA,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"16,222",0,0,"13,718",0,0,"2,504",0,0,0,0,0
2024 Presidential Election,TIOGA,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,144,0,0,125,0,0,19,0,0,0,0,0
2024 Presidential Election,TIOGA,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,70,0,0,47,0,0,23,0,0,0,0,0
2024 Presidential Election,UNION,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"7,563",0,0,"4,993",0,0,"2,570",0,0,0,0,0
2024 Presidential Election,UNION,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"12,671",0,0,"10,298",0,0,"2,373",0,0,0,0,0
2024 Presidential Election,UNION,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,98,0,0,86,0,0,12,0,0,0,0,0
2024 Presidential Election,UNION,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,100,0,0,75,0,0,25,0,0,0,0,0
2024 Presidential Election,VENANGO,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"7,531",0,0,"4,719",0,0,"2,812",0,0,0,0,0
2024 Presidential Election,VENANGO,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"18,747",0,0,"15,908",0,0,"2,839",0,0,0,0,0
2024 Presidential Election,VENANGO,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,137,0,0,107,0,0,30,0,0,0,0,0
2024 Presidential Election,VENANGO,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,86,0,0,65,0,0,21,0,0,0,0,0
2024 Presidential Election,WARREN,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"6,164",0,0,"3,983",0,0,"2,181",0,0,0,0,0
2024 Presidential Election,WARREN,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"14,273",0,0,"12,169",0,0,"2,104",0,0,0,0,0
2024 Presidential Election,WARREN,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,113,0,0,89,0,0,24,0,0,0,0,0
2024 Presidential Election,WARREN,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,53,0,0,40,0,0,13,0,0,0,0,0
2024 Presidential Election,WASHINGTON,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"44,389",0,0,"27,742",0,0,"16,647",0,0,0,0,0
2024 Presidential Election,WASHINGTON,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"75,391",0,0,"63,414",0,0,"11,977",0,0,0,0,0
2024 Presidential Election,WASHINGTON,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,514,0,0,408,0,0,106,0,0,0,0,0
2024 Presidential Election,WASHINGTON,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,250,0,0,194,0,0,56,0,0,0,0,0
2024 Presidential Election,WAYNE,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"9,100",0,0,"5,045",0,0,"4,055",0,0,0,0,0
2024 Presidential Election,WAYNE,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"19,911",0,0,"14,983",0,0,"4,928",0,0,0,0,0
2024 Presidential Election,WAYNE,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,125,0,0,89,0,0,36,0,0,0,0,0
2024 Presidential Election,WAYNE,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,98,0,0,75,0,0,23,0,0,0,0,0
2024 Presidential Election,WESTMORELAND,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"74,451",0,0,"44,718",0,0,"29,733",0,0,0,0,0
2024 Presidential Election,WESTMORELAND,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"134,268",0,0,"110,249",0,0,"24,019",0,0,0,0,0
2024 Presidential Election,WESTMORELAND,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,966,0,0,730,0,0,236,0,0,0,0,0
2024 Presidential Election,WESTMORELAND,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,562,0,0,388,0,0,174,0,0,0,0,0
2024 Presidential Election,WYOMING,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"4,656",0,0,"2,937",0,0,"1,719",0,0,0,0,0
2024 Presidential Election,WYOMING,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"10,183",0,0,"8,560",0,0,"1,623",0,0,0,0,0
2024 Presidential Election,WYOMING,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,89,0,0,69,0,0,20,0,0,0,0,0
2024 Presidential Election,WYOMING,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,60,0,0,40,0,0,20,0,0,0,0,0
2024 Presidential Election,YORK,ALL,President of the United States,Statewide,Democratic,DEM,KAMALA D HARRIS,"89,681",0,0,"55,238",0,0,"34,443",0,0,0,0,0
2024 Presidential Election,YORK,ALL,President of the United States,Statewide,Republican,REP,DONALD J TRUMP,"152,793",0,0,"125,585",0,0,"27,208",0,0,0,0,0
2024 Presidential Election,YORK,ALL,President of the United States,Statewide,Libertarian,LIB,CHASE OLIVER,"1,403",0,0,"1,121",0,0,282,0,0,0,0,0
2024 Presidential Election,YORK,ALL,President of the United States,Statewide,Green Party,GRN,JILL STEIN,942,0,0,675,0,0,267,0,0,0,0,0
